Parameter,Value
Video format,MP4
Codec,mp4v
Frame rate,10.00 FPS
Number of reconstruction stages,8
Frames per stage,15
Duration per stage,1.50 seconds
Total frames,120
Video resolution,512 x 602
Total duration,12.00 seconds
