Diameter,Sigma Color,Sigma Space,PSNR (dB),SSIM
5,20,20,20.7291176273403,0.5247229323705536
5,35,35,22.890086128501498,0.5654816207779988
7,25,25,21.772645569437508,0.5363690317064583
7,35,35,23.293656933503584,0.5593915398073839
7,50,50,24.88567779197136,0.5892129942810688
9,35,35,23.355560409421,0.5520321575879593
9,50,50,24.789233604398643,0.577567047303316
