Kernel,Sigma,PSNR (dB),SSIM
3 x 3,0.5,25.62323694602467,0.6179938933485066
3 x 3,1.0,26.7214856476603,0.705095962656509
5 x 5,0.8,27.077696368371594,0.7201912763935255
5 x 5,1.0,26.59812762108846,0.7276798636513525
5 x 5,1.5,25.525724420125336,0.7084216077831053
7 x 7,1.5,25.24646726025361,0.7084640383826581
7 x 7,2.0,24.438561633886017,0.6788016893423648
