Noise Model,Filter,Noisy PSNR (dB),Initial PSNR (dB),Optimized PSNR (dB),PSNR Improvement (dB),Noisy SSIM,Initial SSIM,Optimized SSIM,SSIM Improvement
Gaussian,Gaussian Filter,22.235728596983478,26.59812762108846,26.59812762108846,4.362399024104981,0.498242862290654,0.7276798636513525,0.7276798636513525,0.2294370013606985
Salt-and-Pepper,Median Filter,18.09845409176665,27.892740210326874,27.892740210326874,9.794286118560223,0.4394374287668302,0.8374708781078356,0.8374708781078356,0.39803344934100543
Speckle,Bilateral Filter,19.344795789837338,23.293656933503584,24.88567779197136,5.540882002134023,0.4818873634727848,0.5593915398073839,0.5892129942810688,0.10732563080828394
Poisson,Gaussian Filter,18.337814087866324,24.785597331941375,24.736158936058388,6.398344848192064,0.39016926102244615,0.5917847233082981,0.6468113099540953,0.25664204893164916
