Kernel,Sigma,PSNR (dB),SSIM
3 x 3,0.5,21.95676176374078,0.49893842023625096
3 x 3,0.8,24.785597331941375,0.5917847233082981
3 x 3,1.0,24.86529189878281,0.5950675507432667
5 x 5,0.8,25.106718846430343,0.6080016107041754
5 x 5,1.0,25.296997902907794,0.6290284515777823
5 x 5,1.5,24.848633780034433,0.6343369291741896
7 x 7,1.5,24.736158936058388,0.6468113099540953
