Stage,Bit Planes Included,PSNR (dB),SSIM
1,8,11.599539798375478,0.4459543745150396
2,8 + 7,16.920373619883854,0.659730509686855
3,8 + 7 + 6,22.865382933139106,0.8452613450322713
4,8 + 7 + 6 + 5,29.277350437407648,0.9402091515155749
5,8 + 7 + 6 + 5 + 4,35.74890368761712,0.9822295265354893
6,8 + 7 + 6 + 5 + 4 + 3,42.864777871391524,0.9945419189169094
7,8 + 7 + 6 + 5 + 4 + 3 + 2,51.30609109052668,0.9986635000828633
8,8 + 7 + 6 + 5 + 4 + 3 + 2 + 1,inf,1.0
